Sn,News,Category
8,"नेपालको राजनीतिमा अचेल सबै ठूला दलका नेताहरू एकअर्कालाई भ्रष्टाचारी साबित गर्न व्यस्त छन् । तर यो भ्रष्टाचार नियन्त्रण गर्नका लागि होइन । यो सब नाटक एकअर्कालाई तर्साउने, धम्काउने र सत्ता टिकाउने कसरी र सत्ता ढाल्ने कसरी भन्ने खेल र षड्यन्त्रको अंग भएको छ ।",Opinion
,,
,,
9,जिल्लाको उत्तरी भेगमा भएर बग्ने कालीगण्डकी नदीमा आईएमई समूहद्वारा प्रवर्द्धित तिप्ल्याङ–कालीगण्डकी हाइड्रोपावर प्रालिले ५८ मेगावाटको जलविद्युत् आयोजना निर्माण गर्ने भएको छ । नेपाल विद्युत् प्राधिकरणका कार्यकारी निर्देशक कुलमान घिसिङ र तिप्ल्याङ कालीगण्डकी हाइड्रोपावरका अध्यक्ष चन्द्र ढकालले विद्युत् खरिद–बिक्री सम्झौता (पीपीए) गरेका छन् ।,Finance
,,
10, नेपाल धितोपत्र बोर्ड (सेबोन) ले ब्रोकर कमिसन घटाउने तयारी गरेको छ । यसका लागि बोर्डले गठन गरेको समितिले प्रतिवेदन बुझाउने अन्तिम तयारी गरेको बोर्डका अध्यक्ष रमेशकुमार हमालले बताए । नेपाल आर्थिक पत्रकार संघ (नाफिज) ले शुक्रबार आयोजना गरेको कार्यक्रममा ब्रोकरलाई समस्यामा पारेर कमिसन घटाउने निर्णय नगर्ने पनि उनले प्रस्ट्याए ।,Finance
,,
11, एक अर्ब रुपैयाँभन्दा बढी चुक्ता पुँजी भएका कम्पनीले पछिल्लो दुई आर्थिक वर्षको नाफाकै आधारमा प्रिमियममा (अंकित मूल्यमा थप गरेर) प्राथमिक सेयर निष्कासन (आईपीओ) जारी गर्न पाउने भएका छन् । ‘धितोपत्र दर्ता तथा निष्कासन (सातौं संशोधन) नियमावली’ मार्फत नेपाल धितोपत्र बोर्डले यस्तो व्यवस्था गरेको हो । यो व्यवस्था एक अर्ब रुपैयाँभन्दा कम चुक्ता पुँजी भएका कम्पनीका लागि भने होइन ,Finance
,,
12,भारतको सबैभन्दा ठूलो वायुसेवा कम्पनी इन्डिगोले एक विशेष स्मार्टवाचमार्फत आफ्ना विमान चालकहरूको थकान वा तन्द्रा अवस्था जाँच्ने भएको छ । इन्डिगोले थकान व्यवस्थापनका प्रक्रियाहरूमा सुधार गर्न सल्लाहकारसमेत नियुक्त गर्ने योजना बनाएको रोयटर्सले जनाएको छ । ,Finance
,,
13,सरकारले निजी क्षेत्रलाई लगानीको वातावरण तयार पार्ने गरी आवश्यक नीति एवं ऐन संशोधन गर्ने तयारी गरेको प्रधानमन्त्री पुष्पकमल दाहालले बताएका छन् । मन्त्रिपरिषद्मा यसबारे चर्चा गरिएको र छिट्टै एउटा निर्णयमा पुगिने उनको भनाइ छ । मुलुकको आर्थिक अवस्थाप्रति निजी क्षेत्रले सधैं चिन्ता व्यक्त गर्दै आएको र यसमा सरकार गम्भीर रहेको उनले जनाए ।,Finance
,,
14,काठमाडौं तराई/मधेश द्रुतमार्ग (फास्ट ट्र्याक) निर्माण थालेको ६ वर्षपछि विस्तृत परियोजना रिपोर्ट (डीपीआर) संशोधन गरेर दूरी घटाइएको छ । गत साउन ३० मा बसेको मन्त्रिपरिषद् बैठकले डीपीआर संशोधन गर्न स्वीकृति दिएसँगै अब ललितपुरको खोकनादेखि बाराको निजगढसम्मको दूरी ७०.९७७ किमि कायम भएको छ । यसअघि उक्त खण्डको दूरी ७२.५ किमि थियो ।,Finance
,,
15,"नेपाललाई मेला, सभा/सम्मेलन तथा विवाह गन्तव्यका रूपमा स्थापित गर्न कार्यक्रम आयोजना हुने भएको छ ।",Finance
,,
16,"लुम्बिनीमा ९ लाख ७४ हजार ३ सय ८१ हेक्टर वन क्षेत्र छ । वनको दिगो व्यवस्थापन, काठको उच्चतम प्रयोग र नियमित आम्दानीका लागि भन्दै लुम्बिनी प्रदेश सरकारले गत आर्थिक वर्षदेखि सम्वर्द्धन प्रणालीमा आधारित वन व्यवस्थापन कार्य सुरु गर्यो ।",Finance
,,
17,एसियाली खेलकुदमा ई–स्पोर्ट्सले पहिलोपल्ट प्रवेश पाउँदा अर्को सातादेखि चीनको हाङचोउमा हुने १९ औं संस्करणमा सहभागि हुने २३ खेलाडीलाई महादेसीय खेलकुदबारे नेपाल ई–स्पोर्ट्स एसोसिएसन (नेसा) ले अभिमुखीकरण कार्यक्रम सञ्चालन गरेको छ ।,Sports
,,
18,चीनले फेरि एकपल्ट आफ्नो भूमिमा हुने १९ औं एसियाली खेलकुदमा निकै बलियो टिम उतार्दै छ । यसले देखाएको छ आयोजक देशको पदक महत्त्वाकांक्षा अझै अत्यधिक रहेको छ ।,Sports
,,
19,इजरायलको महिला फुटबल लिगमा हापोएल रानानाबाट खेलिरहेकी नेपाली महिला राष्ट्रिय टोलीकी स्ट्राइकर सावित्रा भण्डारी एसियाली खेलकुदका लागि शनिबार काठमाडौं आइपुग्ने छिन् ,Sports
,,
20,पुलिसकी शुभाङ्गी श्रेष्ठले ११ औं कोरियन एम्बासडर खुला तेक्वान्दो प्रतियोगितामा स्वर्ण पदक जितेकी छन् । जुनियर महिला ५९ केजीमुनि फाइनलमा उनले राजदेवी तेक्वान्दोकी प्रज्ञा परियारलाई पराजित गरिन् ।,Sports
